model,n_cells,n_features,features,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
M5_Classical_plus_Gene_and_Program_APG,6400,27,shannon;renyi2;simpson;hhi;participation;gini;detected;apg_entropy_norm;apg_cmax;apg_c2;apg_pr;apg_d_2_25;apg_d_2_5;apg_d_3_0;apg_d_4_0;apg_d_5_0;apg_d_6_0;apg_integrated_2_6;program_apg_entropy_norm;program_apg_cmax;program_apg_c2;program_apg_pr;program_apg_d_2_5;program_apg_d_3_0;program_apg_d_4_0;program_apg_d_6_0;program_apg_integrated_2_6,0.540005796326021,0.002020537739908704,0.5299334554168375,0.0036729970142550727
M4_Program_APG,6400,11,program_apg_entropy_norm;program_apg_cmax;program_apg_c2;program_apg_pr;program_apg_d_2_25;program_apg_d_2_5;program_apg_d_3_0;program_apg_d_4_0;program_apg_d_5_0;program_apg_d_6_0;program_apg_integrated_2_6,0.41829585668290575,0.005280353946753187,0.38866522456324226,0.0034244943008850323
M3_Classical_plus_APG,6400,18,shannon;renyi2;simpson;hhi;participation;gini;detected;apg_entropy_norm;apg_cmax;apg_c2;apg_pr;apg_d_2_25;apg_d_2_5;apg_d_3_0;apg_d_4_0;apg_d_5_0;apg_d_6_0;apg_integrated_2_6,0.4032776228961918,0.008583966123491075,0.37920027328495737,0.010384152651236553
M2_Classical_diversity,6400,7,shannon;renyi2;simpson;hhi;participation;gini;detected,0.3624980053129077,0.005912501851138504,0.30269280462826326,0.005788729354237744
M1_Shannon_only,6400,1,shannon,0.218918668393831,0.00401281844792218,0.17097446928893342,0.005736094840836456
