model,n_groups,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
ADT PCA + classical + APG,13,0.9591643831899379,0.008431842174502786,0.9570972684676734,0.0072034709902916065
ADT PCA + APG,13,0.9594206901228178,0.008799931684553603,0.9569304439104124,0.007436755530528035
RNA PCA + ADT APG,13,0.9559478463539975,0.004924757746740108,0.9526906662368836,0.005252645920536393
ADT PCA + classical,13,0.9414186488855042,0.013298636783666185,0.9426611034879973,0.010902222086527476
RNA PCA (50),13,0.9467320704310086,0.005928997992759562,0.9422127714534471,0.005684551225899203
ADT PCA (30),13,0.9310955192969275,0.015299522285876778,0.9336324036835547,0.013528691471408186
