model,n_features,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
Classical + APG high-p,20,0.5270312500000001,0.005429546985591947,0.5126249031588448,0.004229628785486967
Classical + APG low-p,20,0.4995312500000001,0.009220736014887867,0.4774059441077724,0.010713954632188992
Classical + APG transition,22,0.5075000000000001,0.00959380089563047,0.4871288546197354,0.009590725957118412
Classical + all APG,38,0.545,0.0025674494883054584,0.5332756692820116,0.003515652483793354
Classical only,14,0.45375,0.010984830627108,0.42583782389118674,0.009986641088062166
