model,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
ADT PCA + classical + APG,0.96251355868374,0.0023001733819543735,0.9593573059848242,0.0029821613847395836
ADT PCA + APG,0.9623712016001857,0.0027847683814127226,0.9589920632074618,0.0032531359318778126
RNA PCA + ADT classical + APG,0.957850157646026,0.004234902601148417,0.9547654810725085,0.003563375875236604
RNA PCA + ADT APG,0.9567506803438185,0.004496870566535225,0.9538924747803097,0.003774351322621826
RNA PCA + ADT classical,0.9507757144621433,0.0041341840993122094,0.9474741861678158,0.0034067746475682655
ADT PCA + classical,0.9457986526706434,0.001569137168744711,0.9468462010134887,0.002551616683546161
RNA PCA (50),0.9465045566187149,0.0037900377154881084,0.9428589831278196,0.0035040178271346506
ADT PCA (30),0.9358997564061943,0.0033963730431448708,0.9382075061191777,0.0017229070595863793
