model,n_libraries,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
ADT PCA + classical + APG,13,0.9572001054141682,0.009225018993068325,0.9554725565208021,0.007109337345938807
ADT PCA + APG,13,0.9568837725936691,0.008494618773432883,0.9548686324194761,0.007163028066032504
RNA PCA + ADT classical + APG,13,0.9572064675864967,0.004929705540731513,0.9539211836805254,0.005445603155050463
RNA PCA + ADT APG,13,0.9559478463539975,0.004924757746740108,0.9526906662368836,0.005252645920536393
RNA PCA + ADT classical,13,0.9506924183700651,0.004893948932752968,0.946860838848154,0.0051125843459905
RNA PCA (50),13,0.9467320704310086,0.005928997992759562,0.9422127714534471,0.005684551225899203
ADT PCA + classical,13,0.9390425484950808,0.013057731509327502,0.9407543535500124,0.010205075025261797
ADT PCA (30),13,0.9308582595928953,0.015015752459769544,0.9336270230547329,0.011571439764276761
