,B cell,CD14 monocyte,CD4 T,CD8 T,Dendritic,FCGR3A monocyte,NK,Platelet
B cell,525,50,39,54,50,30,37,15
CD14 monocyte,42,541,27,45,4,22,105,14
CD4 T,67,11,540,91,13,10,9,59
CD8 T,61,52,145,242,9,39,211,41
Dendritic,58,76,178,88,163,79,124,34
FCGR3A monocyte,29,30,182,89,21,292,116,41
NK,64,63,0,47,16,66,543,1
Platelet,67,64,424,93,12,26,56,58
