model,n_features,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
All classical (14),14,0.45375,0.010984830627108,0.42583782389118674,0.009986641088062166
All classical + all APG (38),38,0.545,0.0025674494883054584,0.5332756692820116,0.003515652483793354
All classical + matched nonlinear control (38),38,0.46656250000000005,0.0037222278904911186,0.44453402091320565,0.005550388326089199
Gene classical (7),7,0.3721875,0.00704425879928115,0.3273669296863827,0.00586434999425702
Gene classical + APG (19),19,0.41312499999999996,0.00376299830587259,0.3876244834505034,0.004117590417298911
Gene classical + matched nonlinear control (19),19,0.37734375,0.008786892093126565,0.33554066556926776,0.005067252222515844
Programme classical (7),7,0.33296875,0.008511681999978022,0.28379104771988517,0.00776884724556775
Programme classical + APG (19),19,0.4303125,0.0080320707265468,0.41270645680005114,0.010788944635444338
Programme classical + matched nonlinear control (19),19,0.353125,0.004021730523823039,0.31432102731256983,0.0059219406926976385
