library,n_test,model,balanced_accuracy,macro_f1
L3,3053,RNA PCA + ADT APG,0.9583114000287813,0.9550069607553654
L3,3053,RNA PCA + ADT classical + APG,0.9584948885283654,0.9550333585721233
L4,3443,RNA PCA (50),0.9481010730569137,0.9473279063172426
L4,3443,ADT PCA (30),0.9415024169442174,0.9419204197924479
L4,3443,ADT PCA + classical,0.9491937222516388,0.9486230295661513
L4,3443,ADT PCA + APG,0.9623749023654093,0.9582918750216596
L4,3443,ADT PCA + classical + APG,0.9633369445139366,0.9592304695390446
L4,3443,RNA PCA + ADT classical,0.9522294924470125,0.9503252898869894
L4,3443,RNA PCA + ADT APG,0.9580794720278933,0.9552633012991223
L4,3443,RNA PCA + ADT classical + APG,0.9590283138059992,0.9569364527042385
L5,3774,RNA PCA (50),0.9412227161876019,0.9358654125241541
L5,3774,ADT PCA (30),0.9506129274232572,0.9471032070675725
L5,3774,ADT PCA + classical,0.9543225465701786,0.9479619186947179
L5,3774,ADT PCA + APG,0.9678032169158017,0.9582842229264777
L5,3774,ADT PCA + classical + APG,0.9687731521142332,0.9594548236982317
L5,3774,RNA PCA + ADT classical,0.9435415558906963,0.9366420653220247
L5,3774,RNA PCA + ADT APG,0.9515312351205849,0.947100065662879
L5,3774,RNA PCA + ADT classical + APG,0.9523193869636863,0.9478446915845637
