descriptor,spearman_with_apg_entropy_norm,linear_r2_from_apg_entropy_norm,sd
apg_d_2_25,0.9994900064756792,0.9985062866269334,0.013645884990291485
apg_d_2_5,0.9978966244745242,0.9942088433643339,0.012550914201104064
apg_d_3_0,0.9912757561813283,0.9784386206293271,0.005436526663235887
apg_d_4_0,0.9662022065903088,0.9277176471871014,0.0005589574738412036
apg_d_5_0,0.9349971189877705,0.8675785171123978,4.821718998069875e-05
apg_d_6_0,0.9092405404730359,0.8088646775785935,4.077416094712679e-06
apg_integrated_2_6,0.9962269653699656,0.9903675468943258,0.012781897094027427
