factor,level,rep,shannon,renyi2,simpson,hhi,participation,apg_entropy_norm,apg_cmax,apg_c2,apg_neff,apg_pr,apg_d_2_25,apg_d_2_5,apg_d_3_0,apg_d_4_0,apg_d_5_0,apg_d_6_0,apg_integrated_2_6
sparsity,0.0,0,4.643876891999719,4.4816473663091525,0.9886852417583758,0.011314758241624145,88.38014729481039,0.8639983794190029,0.06512591294663347,0.022586459105149215,66.16464685805738,44.274314771721876,0.4032369856855367,0.6386266240871846,0.8622791835572935,0.9774135408948508,0.995850124089937,0.999178449459113,3.4598565078363928
sparsity,0.0,1,4.680650486247367,4.552742125476542,0.989461732524057,0.010538267475943046,94.89225836056296,0.892005831976225,0.040990198973326286,0.017960376537283884,75.79552790866674,55.67811999509606,0.41435813808735844,0.6531682825641711,0.8747166099153971,0.9820396234627161,0.9971817541462087,0.9995301883795776,3.4835515697186654
sparsity,0.0,2,4.673528420553382,4.553325073493021,0.9894678739959258,0.01053212600407417,94.94759174102859,0.8968163560846979,0.03553239594991181,0.016573984194031246,77.58546484149404,60.335522726040004,0.4165847080310354,0.6564330381647829,0.8779736143877984,0.9834260158059688,0.9975841964867114,0.9996298490672156,3.4896139139366893
sparsity,0.0,3,4.593755078339423,4.390248113245087,0.987602347183062,0.01239765281693809,80.66042941884014,0.8304316347171348,0.0828995968145098,0.029002526888737924,56.220385574126965,34.47975425852682,0.3898653609768914,0.6210030587370684,0.8467521350729057,0.970997473111262,0.9937186476926086,0.9985187398824632,3.429382079320405
sparsity,0.0,4,4.658752273179835,4.523953265605335,0.9891539385576932,0.010846061442306779,92.19936705311751,0.8842901586218543,0.05321045438632211,0.01895984667019377,73.01045219989795,52.743042567536754,0.41150418479994244,0.6496489032639504,0.8719378322617721,0.9810401533298062,0.9968751699036476,0.9994417188797192,3.478083941793609
sparsity,0.0,5,4.571027389204661,4.346319770198798,0.9870455998703765,0.012954400129623504,77.19384842167801,0.8150787117096747,0.08791770646054742,0.03136146147627434,52.18455535542386,31.88626909994366,0.38386525565066854,0.6132748570902089,0.8403053844665194,0.9686385385237256,0.99300903775795,0.9983096196161425,3.416975809761132
sparsity,0.0,6,4.594243887062479,4.415407286839975,0.987910370824652,0.012089629175348003,82.71552299048346,0.847148581802846,0.06048616602219979,0.02444566653017398,60.97052538223319,40.907045785218074,0.3970734237928425,0.6311353791852145,0.8565845680967379,0.975554333469826,0.995331463761769,0.9990396284901498,3.4487881606918895
sparsity,0.0,7,4.629268878216703,4.456199982854588,0.9883936159469388,0.011606384053061284,86.15947873413299,0.8551886682528688,0.059688419489650306,0.024086691203000863,63.39603371107625,41.51670279541816,0.39978976736799154,0.6341560513608075,0.8584495831269414,0.9759133087969991,0.9953867601642444,0.9990493825052876,3.4524179086613938
sparsity,0.0,8,4.625360771448127,4.449521547523338,0.9883158440533916,0.01168415594660844,85.58598537793262,0.8519854176484003,0.08923385110579818,0.025771161391711706,62.41833303408859,38.80306303625149,0.398338508247309,0.6319642562797223,0.8559136028718137,0.9742288386082882,0.9945858941754969,0.9987252795536441,3.4466837978811906
sparsity,0.0,9,4.612359636520253,4.430595612503144,0.9880926046332906,0.011907395366709381,83.98142240205692,0.844873128294432,0.07713082107899778,0.027105416810991757,60.30107841025334,36.8929947461454,0.39539601495580345,0.6279635922153869,0.8522905303824704,0.9728945831890082,0.9942820428336709,0.998687530755129,3.4400736400068173
sparsity,0.0,10,4.624844021996463,4.4472165256222,0.9882888807544794,0.011711119245520651,85.38893499717386,0.8505617908971025,0.07861824301584405,0.025567410841271183,61.98866531093819,39.11229049387314,0.3977697105422753,0.6312618860417549,0.8555137924529528,0.9744325891587288,0.9948230115593653,0.9988550155576879,3.446484087737879
sparsity,0.0,11,4.612012808381609,4.416668110122267,0.987925604105335,0.012074395894664917,82.81987842073062,0.8353284929599737,0.11296243986572849,0.031433379785373514,57.57216061204107,31.813314598302185,0.39112533659995197,0.6216577641712814,0.8453545891123433,0.9685666202146265,0.9922317659387858,0.9978287577134358,3.424631702558606
