,B cell,CD14 monocyte,CD4 T,CD8 T,Dendritic,FCGR3A monocyte,NK,Platelet
B cell,554,31,44,54,33,26,40,18
CD14 monocyte,34,595,24,53,11,26,43,14
CD4 T,11,13,558,104,27,10,0,77
CD8 T,14,43,150,413,36,10,95,39
Dendritic,8,93,141,125,293,71,22,47
FCGR3A monocyte,3,30,176,125,36,326,54,50
NK,32,38,0,47,17,19,646,1
Platelet,21,30,435,131,28,30,22,103
