model_a,model_b,mean_delta_macro_f1,median_delta_macro_f1,wilcoxon_stat,p
ADT PCA + APG,ADT PCA (30),0.020784557088283993,0.020701701089769986,0.0,0.0625
ADT PCA + classical + APG,ADT PCA + classical,0.012511104971335318,0.012348740781430778,0.0,0.0625
RNA PCA + ADT APG,RNA PCA (50),0.011033491652490169,0.010203628554576794,0.0,0.0625
RNA PCA + ADT classical + APG,RNA PCA + ADT classical,0.0072912949046926466,0.006818340981652127,0.0,0.0625
