fold,cell_type,feature,coefficient,abs_coefficient
1,B cell,shannon,-0.6380667080445733,0.6380667080445733
1,B cell,renyi2,-0.7086109149882472,0.7086109149882472
1,B cell,simpson,3.3023055197244005,3.3023055197244005
1,B cell,hhi,-3.3023055197273377,3.3023055197273377
1,B cell,participation,1.1643323436904605,1.1643323436904605
1,B cell,gini,0.699289283194497,0.699289283194497
1,B cell,detected,-0.46504306747583146,0.46504306747583146
1,B cell,program_shannon,-2.8159511444174203,2.8159511444174203
1,B cell,program_renyi2,-0.5051274344120639,0.5051274344120639
1,B cell,program_simpson,0.7546458423839796,0.7546458423839796
1,B cell,program_hhi,-0.7546652458419991,0.7546652458419991
1,B cell,program_participation,1.0230470082490208,1.0230470082490208
1,B cell,program_gini,-1.3135142890356442,1.3135142890356442
1,B cell,program_detected,0.0,0.0
1,B cell,apg_entropy_norm,-0.8085752941297122,0.8085752941297122
1,B cell,apg_cmax,0.07466410639629222,0.07466410639629222
1,B cell,apg_c2,1.2566270065489171,1.2566270065489171
1,B cell,apg_neff,2.2913391055288317,2.2913391055288317
1,B cell,apg_pr,0.9016426752971293,0.9016426752971293
1,B cell,apg_d_2_25,-0.9150182958394694,0.9150182958394694
1,B cell,apg_d_2_5,-1.0171017336139658,1.0171017336139658
1,B cell,apg_d_3_0,-1.187909149134468,1.187909149134468
1,B cell,apg_d_4_0,-1.2566270065528748,1.2566270065528748
1,B cell,apg_d_5_0,-0.7152029776211538,0.7152029776211538
1,B cell,apg_d_6_0,0.6165229583887313,0.6165229583887313
1,B cell,apg_integrated_2_6,-1.0552886501165393,1.0552886501165393
1,B cell,program_apg_entropy_norm,-0.4629463574126656,0.4629463574126656
1,B cell,program_apg_cmax,0.8922038606318555,0.8922038606318555
1,B cell,program_apg_c2,-0.17310436844887445,0.17310436844887445
1,B cell,program_apg_neff,-2.472170594269256,2.472170594269256
1,B cell,program_apg_pr,-0.43949515904371966,0.43949515904371966
1,B cell,program_apg_d_2_25,-0.6344714518295725,0.6344714518295725
1,B cell,program_apg_d_2_5,-0.756503326531921,0.756503326531921
1,B cell,program_apg_d_3_0,-0.7508837728914821,0.7508837728914821
1,B cell,program_apg_d_4_0,0.1731041624876865,0.1731041624876865
1,B cell,program_apg_d_5_0,1.5964312730126933,1.5964312730126933
1,B cell,program_apg_d_6_0,2.9353510008542756,2.9353510008542756
1,B cell,program_apg_integrated_2_6,1.003087051176034,1.003087051176034
1,CD14 monocyte,shannon,1.8744467589916411,1.8744467589916411
1,CD14 monocyte,renyi2,1.5203023458214153,1.5203023458214153
1,CD14 monocyte,simpson,-1.713415901009963,1.713415901009963
1,CD14 monocyte,hhi,1.7134159010091785,1.7134159010091785
1,CD14 monocyte,participation,-0.03582590182727988,0.03582590182727988
1,CD14 monocyte,gini,0.9970987998102715,0.9970987998102715
1,CD14 monocyte,detected,-0.21000841372042917,0.21000841372042917
1,CD14 monocyte,program_shannon,0.3032441574226111,0.3032441574226111
1,CD14 monocyte,program_renyi2,1.3103054733921846,1.3103054733921846
1,CD14 monocyte,program_simpson,0.271970453855603,0.271970453855603
1,CD14 monocyte,program_hhi,-0.2719600036355838,0.2719600036355838
1,CD14 monocyte,program_participation,-0.9589178331929664,0.9589178331929664
1,CD14 monocyte,program_gini,0.7534896674593371,0.7534896674593371
1,CD14 monocyte,program_detected,0.0,0.0
1,CD14 monocyte,apg_entropy_norm,0.7145589960476396,0.7145589960476396
1,CD14 monocyte,apg_cmax,-1.067126273649511,1.067126273649511
1,CD14 monocyte,apg_c2,1.3564514308806743,1.3564514308806743
1,CD14 monocyte,apg_neff,-0.08277007209216096,0.08277007209216096
1,CD14 monocyte,apg_pr,-1.0219118505076743,1.0219118505076743
1,CD14 monocyte,apg_d_2_25,0.3478085515794385,0.3478085515794385
1,CD14 monocyte,apg_d_2_5,-0.03976572366532338,0.03976572366532338
1,CD14 monocyte,apg_d_3_0,-0.762963852027327,0.762963852027327
1,CD14 monocyte,apg_d_4_0,-1.3564514308775228,1.3564514308775228
1,CD14 monocyte,apg_d_5_0,-0.17052131773382231,0.17052131773382231
1,CD14 monocyte,apg_d_6_0,2.663848942124923,2.663848942124923
1,CD14 monocyte,apg_integrated_2_6,-0.22536393988147288,0.22536393988147288
1,CD14 monocyte,program_apg_entropy_norm,0.3769318342773745,0.3769318342773745
1,CD14 monocyte,program_apg_cmax,0.9078436795208119,0.9078436795208119
1,CD14 monocyte,program_apg_c2,-0.24313920517318147,0.24313920517318147
1,CD14 monocyte,program_apg_neff,0.2591340258768943,0.2591340258768943
1,CD14 monocyte,program_apg_pr,0.9985006014408542,0.9985006014408542
1,CD14 monocyte,program_apg_d_2_25,0.21451252745709193,0.21451252745709193
1,CD14 monocyte,program_apg_d_2_5,0.14170004732407443,0.14170004732407443
1,CD14 monocyte,program_apg_d_3_0,0.16253622810222113,0.16253622810222113
1,CD14 monocyte,program_apg_d_4_0,0.24313921221251752,0.24313921221251752
1,CD14 monocyte,program_apg_d_5_0,-0.1150809119867765,0.1150809119867765
1,CD14 monocyte,program_apg_d_6_0,-0.9164306101972846,0.9164306101972846
1,CD14 monocyte,program_apg_integrated_2_6,-0.11099931338550609,0.11099931338550609
1,CD4 T,shannon,0.8409025002825841,0.8409025002825841
1,CD4 T,renyi2,0.7409319631488048,0.7409319631488048
1,CD4 T,simpson,0.5544454918815876,0.5544454918815876
1,CD4 T,hhi,-0.5544454918824626,0.5544454918824626
1,CD4 T,participation,-0.06329507566790783,0.06329507566790783
1,CD4 T,gini,0.415767146820348,0.415767146820348
1,CD4 T,detected,-0.6546287204805615,0.6546287204805615
1,CD4 T,program_shannon,1.339443002494615,1.339443002494615
1,CD4 T,program_renyi2,-0.20164666539778037,0.20164666539778037
1,CD4 T,program_simpson,-0.21801542864128146,0.21801542864128146
1,CD4 T,program_hhi,0.21801678166366076,0.21801678166366076
1,CD4 T,program_participation,0.1755057670038772,0.1755057670038772
1,CD4 T,program_gini,1.53700661332401,1.53700661332401
1,CD4 T,program_detected,0.0,0.0
1,CD4 T,apg_entropy_norm,0.4526492215361969,0.4526492215361969
1,CD4 T,apg_cmax,0.015189060842032538,0.015189060842032538
1,CD4 T,apg_c2,0.706164058140907,0.706164058140907
1,CD4 T,apg_neff,0.3221647311811397,0.3221647311811397
1,CD4 T,apg_pr,-0.7480229583502886,0.7480229583502886
1,CD4 T,apg_d_2_25,0.3035653193350551,0.3035653193350551
1,CD4 T,apg_d_2_5,0.1323170713368086,0.1323170713368086
1,CD4 T,apg_d_3_0,-0.2252829547473048,0.2252829547473048
1,CD4 T,apg_d_4_0,-0.7061640581507844,0.7061640581507844
1,CD4 T,apg_d_5_0,-0.5195579453670479,0.5195579453670479
1,CD4 T,apg_d_6_0,0.46504716842104754,0.46504716842104754
1,CD4 T,apg_integrated_2_6,0.02470829747219747,0.02470829747219747
1,CD4 T,program_apg_entropy_norm,0.28045536238015556,0.28045536238015556
1,CD4 T,program_apg_cmax,3.3368696612484343,3.3368696612484343
1,CD4 T,program_apg_c2,-0.36592811384766966,0.36592811384766966
1,CD4 T,program_apg_neff,-0.09523454683406364,0.09523454683406364
1,CD4 T,program_apg_pr,-2.7831854027908722,2.7831854027908722
1,CD4 T,program_apg_d_2_25,0.4705923566814385,0.4705923566814385
1,CD4 T,program_apg_d_2_5,0.5895669897246569,0.5895669897246569
1,CD4 T,program_apg_d_3_0,0.6377124166338296,0.6377124166338296
1,CD4 T,program_apg_d_4_0,0.36592815952661517,0.36592815952661517
1,CD4 T,program_apg_d_5_0,0.1265186938034509,0.1265186938034509
1,CD4 T,program_apg_d_6_0,0.12352895628030958,0.12352895628030958
1,CD4 T,program_apg_integrated_2_6,0.2870723153247321,0.2870723153247321
1,CD8 T,shannon,-0.09668375680576222,0.09668375680576222
1,CD8 T,renyi2,0.28183081242300023,0.28183081242300023
1,CD8 T,simpson,-1.057973156855026,1.057973156855026
1,CD8 T,hhi,1.0579731568557857,1.0579731568557857
1,CD8 T,participation,-0.4847957875252902,0.4847957875252902
1,CD8 T,gini,0.2986911453860448,0.2986911453860448
1,CD8 T,detected,-1.1465107181640106,1.1465107181640106
1,CD8 T,program_shannon,-0.14498456500570392,0.14498456500570392
1,CD8 T,program_renyi2,1.2387875384758038,1.2387875384758038
1,CD8 T,program_simpson,-0.45607538823907545,0.45607538823907545
1,CD8 T,program_hhi,0.4560890276419703,0.4560890276419703
1,CD8 T,program_participation,1.0542930656134406,1.0542930656134406
1,CD8 T,program_gini,0.4608886980672128,0.4608886980672128
1,CD8 T,program_detected,0.0,0.0
1,CD8 T,apg_entropy_norm,0.9620889929190912,0.9620889929190912
1,CD8 T,apg_cmax,0.45643335297190546,0.45643335297190546
1,CD8 T,apg_c2,-0.7785542423436843,0.7785542423436843
1,CD8 T,apg_neff,-0.22054393937346575,0.22054393937346575
1,CD8 T,apg_pr,-2.9140355694281026,2.9140355694281026
1,CD8 T,apg_d_2_25,1.0667479049045585,1.0667479049045585
1,CD8 T,apg_d_2_5,1.1303084136874832,1.1303084136874832
1,CD8 T,apg_d_3_0,1.1405282988363008,1.1405282988363008
1,CD8 T,apg_d_4_0,0.7785542423386779,0.7785542423386779
1,CD8 T,apg_d_5_0,0.1238037373734459,0.1238037373734459
1,CD8 T,apg_d_6_0,-0.5477098504275112,0.5477098504275112
1,CD8 T,apg_integrated_2_6,1.0989748675983322,1.0989748675983322
1,CD8 T,program_apg_entropy_norm,1.4628029993728457,1.4628029993728457
1,CD8 T,program_apg_cmax,-0.039030261379909253,0.039030261379909253
1,CD8 T,program_apg_c2,0.08400024156830299,0.08400024156830299
1,CD8 T,program_apg_neff,-0.6941581778243954,0.6941581778243954
1,CD8 T,program_apg_pr,-2.918511096729469,2.918511096729469
1,CD8 T,program_apg_d_2_25,1.254957411156513,1.254957411156513
1,CD8 T,program_apg_d_2_5,1.0286879189701692,1.0286879189701692
1,CD8 T,program_apg_d_3_0,0.5912675234428899,0.5912675234428899
1,CD8 T,program_apg_d_4_0,-0.08400146566387706,0.08400146566387706
1,CD8 T,program_apg_d_5_0,-0.5564462954501315,0.5564462954501315
1,CD8 T,program_apg_d_6_0,-0.9713709048123758,0.9713709048123758
1,CD8 T,program_apg_integrated_2_6,-0.25708204235289367,0.25708204235289367
1,Dendritic,shannon,1.0035546079532829,1.0035546079532829
1,Dendritic,renyi2,0.4548759517114438,0.4548759517114438
1,Dendritic,simpson,-2.051049912880319,2.051049912880319
1,Dendritic,hhi,2.0510499128781987,2.0510499128781987
1,Dendritic,participation,0.04929645433933947,0.04929645433933947
1,Dendritic,gini,-0.010595984137243943,0.010595984137243943
