model,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,features
All classical + all APG,0.545,0.0025674494883054584,0.5332756692820116,0.003515652483793354,38
All classical,0.45375,0.010984830627108,0.42583782389118674,0.009986641088062166,14
Programme classical + APG,0.4303125,0.0080320707265468,0.41270645680005114,0.010788944635444338,19
Gene classical + APG,0.41312499999999996,0.00376299830587259,0.3876244834505034,0.004117590417298911,19
Programme APG,0.4178125,0.01194316374149872,0.38055511585181273,0.01349769236202009,12
Gene classical,0.3721875,0.00704425879928115,0.3273669296863827,0.00586434999425702,7
Programme classical,0.33296875,0.008511681999978022,0.28379104771988517,0.00776884724556775,7
