model,n_features,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
All classical (14),14,0.4703125,0.01122664676812493,0.4433741672838443,0.011269566530295335
All classical + all APG (38),38,0.5493750000000001,0.004922495000632331,0.5403503554673608,0.003058536530553058
All classical + matched RFF control (38),38,0.47406249999999994,0.010192243910812778,0.45436218722741195,0.011812809324547063
All classical + matched polynomial/log control (38),38,0.4803125,0.005882765811567731,0.4594161419417914,0.007943595438820054
