fold,feature,permutation_importance_mean,permutation_importance_sd
1,shannon,0.10779247851118871,0.005755042381488059
1,renyi2,0.060174612310114485,0.007650040447834679
1,simpson,0.18721359681222505,0.005353443838086086
1,hhi,0.18721359681222505,0.005353443838086086
1,participation,0.04709178386145211,0.005291176466205954
1,gini,0.15698271194870383,0.005837750913293349
1,detected,0.09499624524771093,0.0014630299806503006
1,program_shannon,0.1861271581520653,0.00627165534782214
1,program_renyi2,0.09294814943821822,0.0052219794193406254
1,program_simpson,0.017654509400434077,0.0054857822897045
1,program_hhi,0.017654509400434077,0.0054857822897045
1,program_participation,0.11581476156455761,0.010826203122346827
1,program_gini,0.07271758867121315,0.005958193582933427
1,program_detected,0.0,0.0
1,apg_entropy_norm,0.033684739036954604,0.004518668948583817
1,apg_cmax,0.06186770665611052,0.007585867329367878
1,apg_c2,0.12857512301312038,0.009492492230389537
1,apg_neff,0.14317825111709268,0.000928486945850626
1,apg_pr,0.17962556891181722,0.004615711856619847
1,apg_d_2_25,0.043227626416112996,0.0018703732599624702
1,apg_d_2_5,0.04834666812246752,0.002410162003241519
1,apg_d_3_0,0.09402213861020126,0.0015611758676196952
1,apg_d_4_0,0.12857512301312038,0.009492492230389537
1,apg_d_5_0,0.0766131754670971,0.006676600263585259
1,apg_d_6_0,0.06934380339121256,0.007657143958905261
1,apg_integrated_2_6,0.06068202431854667,0.002699947905831192
1,program_apg_entropy_norm,0.061857290832322165,0.005979842721396948
1,program_apg_cmax,0.20077076261093627,0.0038372148914266693
1,program_apg_c2,0.0347240670355361,0.010133182374785924
1,program_apg_neff,0.08201441158610843,0.009539637315101048
1,program_apg_pr,0.1802456310164995,0.007924421024100167
1,program_apg_d_2_25,0.06779854355467664,0.004062334670591933
1,program_apg_d_2_5,0.07312227214463146,0.005819629313781668
1,program_apg_d_3_0,0.06229545262821965,0.008853866055485307
1,program_apg_d_4_0,0.0347240670355361,0.010133182374785924
1,program_apg_d_5_0,0.09751658859147277,0.0071559159716746016
1,program_apg_d_6_0,0.16449881137033887,0.005904037293688267
1,program_apg_integrated_2_6,0.03235806204954711,0.004888106071771553
2,shannon,0.10209054777468919,0.005153939623083409
2,renyi2,0.06774532026322587,0.007855269065861436
2,simpson,0.21042567540494028,0.0019087807650100194
2,hhi,0.21042567540494028,0.0019087807650100194
2,participation,0.05153873101029997,0.0060656545053370545
2,gini,0.14477174396188794,0.007488008732348394
2,detected,0.08876868175037322,0.004904937515054692
2,program_shannon,0.17905153079020275,0.013131567109361465
2,program_renyi2,0.0927893484944971,0.0020914591716569473
2,program_simpson,0.016532281101412694,0.004513891787347449
2,program_hhi,0.016532281101412694,0.004513891787347449
2,program_participation,0.11167222235028573,0.012700868100466134
2,program_gini,0.06208070933585023,0.006603343175828168
2,program_detected,0.0,0.0
2,apg_entropy_norm,0.04835466314361906,0.007755964744430628
2,apg_cmax,0.05542453383079878,0.001299637403141227
2,apg_c2,0.11664683581666656,0.0027547015828290958
2,apg_neff,0.14417594513505053,0.004042242200000188
2,apg_pr,0.16832172466392734,0.006682867387605335
2,apg_d_2_25,0.0524928903916053,0.007126049561637844
2,apg_d_2_5,0.055955350549440785,0.00712355431746737
2,apg_d_3_0,0.07801257936564417,0.010295130601347032
2,apg_d_4_0,0.11664683581666656,0.0027547015828290958
2,apg_d_5_0,0.06410824799949932,0.004748197111065307
2,apg_d_6_0,0.06153812588106896,0.0035239791928872452
2,apg_integrated_2_6,0.06196129646456187,0.010627644956474664
2,program_apg_entropy_norm,0.053460581984336265,0.0074850496882417124
2,program_apg_cmax,0.19914145590210755,0.012211696809991977
2,program_apg_c2,0.03350020107804432,0.004581324990245673
2,program_apg_neff,0.105906104807736,0.011516334983754038
2,program_apg_pr,0.12760954680865685,0.010839999630100508
2,program_apg_d_2_25,0.06613054123177177,0.005348217360056451
2,program_apg_d_2_5,0.06695192733358551,0.0073006449493736095
2,program_apg_d_3_0,0.05555442053754802,0.005318546172101179
2,program_apg_d_4_0,0.03350020107804432,0.004581324990245673
2,program_apg_d_5_0,0.0892920397422222,0.0015452959217059953
2,program_apg_d_6_0,0.15472536347039104,0.007162460068851683
2,program_apg_integrated_2_6,0.018593480919031014,0.005371314527655093
3,shannon,0.09237653782090328,0.00239154422831385
3,renyi2,0.03971188100664158,0.0027217080267215384
3,simpson,0.19386396982399087,0.00959634035603396
3,hhi,0.19386396982399087,0.00959634035603396
3,participation,0.044251991161079716,0.008208910310403597
3,gini,0.15115137958740285,0.0044913513691042795
3,detected,0.10109880795516867,0.008724322053574752
3,program_shannon,0.1945866161780677,0.002696495469222238
3,program_renyi2,0.11779594066704653,0.004707193455736621
3,program_simpson,0.016565671175570913,0.004566949783562924
3,program_hhi,0.016565671175570913,0.004566949783562924
3,program_participation,0.11917609011595219,0.010601812942152195
3,program_gini,0.06715028509824465,0.0025304899459772825
3,program_detected,0.0,0.0
3,apg_entropy_norm,0.025800295134950357,0.005599940210255901
3,apg_cmax,0.057891375423225644,0.005717657894452779
3,apg_c2,0.1389181056514082,0.005834776951690771
3,apg_neff,0.13365377402187936,0.00741615914979596
3,apg_pr,0.1720921942677185,0.004062366360142707
3,apg_d_2_25,0.029880701044335656,0.0022590740661165044
3,apg_d_2_5,0.041059700181909575,0.005868081818090697
3,apg_d_3_0,0.08810941425466594,0.0012440463249647374
3,apg_d_4_0,0.1389181056514082,0.005834776951690771
3,apg_d_5_0,0.08722725535332905,0.003390787009455239
3,apg_d_6_0,0.08450489986256869,0.009955096306289539
3,apg_integrated_2_6,0.05831455155482207,0.0023337956642515605
3,program_apg_entropy_norm,0.06362093756600044,0.0028715399553671094
3,program_apg_cmax,0.2031817700676748,0.0013358946744539398
3,program_apg_c2,0.03622834542201775,0.005242893715866693
3,program_apg_neff,0.10667494129420824,0.005144490407109668
3,program_apg_pr,0.16583694155737855,0.012150909317042016
3,program_apg_d_2_25,0.0806943738611824,0.004950822292285392
3,program_apg_d_2_5,0.0756553857855109,0.005661246025218213
3,program_apg_d_3_0,0.05568178339163717,0.005113610744288004
3,program_apg_d_4_0,0.03622834542201775,0.005242893715866693
3,program_apg_d_5_0,0.10680132850547541,0.010098898618832676
3,program_apg_d_6_0,0.14829293439958413,0.007605970659010264
3,program_apg_integrated_2_6,0.03897484675845372,0.012026694111966595
4,shannon,0.08735399113743371,0.00039892069922482895
4,renyi2,0.05973700595474546,0.008074359727931897
4,simpson,0.20960360560820449,0.003197550473494948
4,hhi,0.20960360560820449,0.003197550473494948
4,participation,0.046489923535584766,0.004241342921657862
4,gini,0.1640695514642622,0.004192212592684249
4,detected,0.10147325456535093,0.0021322566711180183
4,program_shannon,0.1684650135668757,0.010053137010604224
4,program_renyi2,0.1113216077309027,0.009483713884810611
4,program_simpson,0.009339445077398293,0.002627665745105642
4,program_hhi,0.009339445077398293,0.002627665745105642
4,program_participation,0.13084587701204556,0.005789499322248331
4,program_gini,0.06474596640113829,0.008507311529235586
4,program_detected,0.0,0.0
4,apg_entropy_norm,0.04589166638206943,0.004860682345884001
4,apg_cmax,0.051115967217298976,0.006047351778850108
4,apg_c2,0.13756095507571803,0.009553667641127023
4,apg_neff,0.14432092560043247,0.004475964908351066
4,apg_pr,0.17153217959774944,0.007396755107395844
4,apg_d_2_25,0.05080593510154221,0.0035176864440460095
4,apg_d_2_5,0.06661284771879757,0.0038270709729370665
4,apg_d_3_0,0.10272090854048112,0.004267632832453483
4,apg_d_4_0,0.13756095507571803,0.009553667641127023
4,apg_d_5_0,0.08454401808250384,0.0019602005015295163
4,apg_d_6_0,0.06825420155499783,0.0058630574991158195
4,apg_integrated_2_6,0.07291382874335313,0.00406442408488482
4,program_apg_entropy_norm,0.05777229118172689,0.004196152036647784
4,program_apg_cmax,0.1875208955617104,0.013642778718612405
4,program_apg_c2,0.02852868435381395,0.0026923330896535523
4,program_apg_neff,0.09301460352957497,0.004914653333878988
4,program_apg_pr,0.14899912972971688,0.00630086444066789
4,program_apg_d_2_25,0.06394309617074774,0.0014034720456579158
4,program_apg_d_2_5,0.05888303945928756,0.002455951813265124
4,program_apg_d_3_0,0.044906304564529785,0.004241300011939636
4,program_apg_d_4_0,0.02852868435381395,0.0026923330896535523
4,program_apg_d_5_0,0.10519546975751541,0.011816196613085172
4,program_apg_d_6_0,0.1609998725533973,0.006523556166547364
4,program_apg_integrated_2_6,0.03592154211377674,0.0010352926072351879
5,shannon,0.11523680337447706,0.01144767918349567
5,renyi2,0.05484986265771047,0.006625293330503547
5,simpson,0.21386799704228165,0.005300114425852391
5,hhi,0.21386799704228165,0.005300114425852391
5,participation,0.04240107425568462,0.0019882396402414325
5,gini,0.15574519412119156,0.0007961043371052985
5,detected,0.11012990786894754,0.005485298775571408
5,program_shannon,0.19342754926511266,0.01629273414285367
5,program_renyi2,0.113526239020113,0.00434525287007586
5,program_simpson,0.004095282586684013,0.003851669497283519
5,program_hhi,0.004095282586684013,0.003851669497283519
5,program_participation,0.12754103091137534,0.00677910241262506
5,program_gini,0.07914774161832146,0.003367098050928524
5,program_detected,0.0,0.0
5,apg_entropy_norm,0.03825628310603144,0.005986998550974344
5,apg_cmax,0.060327389313472014,0.0025977229266149816
5,apg_c2,0.13997112876645973,0.010320487331465105
5,apg_neff,0.1521276888163448,0.002224302488547704
5,apg_pr,0.17901401452821916,0.006905955790534806
5,apg_d_2_25,0.03901876371041424,0.0032112081131396232
5,apg_d_2_5,0.047087705271250245,0.0011246453882409208
5,apg_d_3_0,0.09436391252804936,0.004099783810055603
5,apg_d_4_0,0.13997112876645973,0.010320487331465105
5,apg_d_5_0,0.0847596768801845,0.01250850109664692
5,apg_d_6_0,0.07689353619649926,0.005260285881243945
5,apg_integrated_2_6,0.06048463247686986,0.004189789557373603
5,program_apg_entropy_norm,0.06847670702674706,0.004160815013776429
5,program_apg_cmax,0.19785531142246895,0.014868453666350177
5,program_apg_c2,0.03224650605603404,0.004471808536506479
5,program_apg_neff,0.12775361312367106,0.009125987756496754
5,program_apg_pr,0.15682676383670643,0.004989819869537475
5,program_apg_d_2_25,0.08579951819335646,0.005750335175222829
5,program_apg_d_2_5,0.08502861713290698,0.0028165806237845964
5,program_apg_d_3_0,0.06220842853691877,0.009267371485954714
5,program_apg_d_4_0,0.03224650605603404,0.004471808536506479
5,program_apg_d_5_0,0.09658855155302289,0.009921492449167577
5,program_apg_d_6_0,0.14758696744480101,0.004726814154229784
5,program_apg_integrated_2_6,0.022092452279714753,0.004606093452063356
