model,features,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
ADT PCA + classical + APG,49,0.9610468171940159,0.0020439207467780472,0.9582589230394942,0.0028336551977473368
ADT PCA + APG,42,0.9609328056550283,0.0020439185865868473,0.9580623571110735,0.002576972528269304
RNA PCA + ADT classical + APG,69,0.957850157646026,0.004234902601148408,0.9547654810725085,0.0035633758752365925
RNA PCA + ADT APG,62,0.9567506803438185,0.004496870566535256,0.9538924747803097,0.003774351322621837
RNA PCA + ADT classical,57,0.9507757144621433,0.00413418409931219,0.947474186167816,0.0034067746475683093
ADT PCA + classical,37,0.9444472226242395,0.0028177628066752653,0.9451618477730122,0.0025315099467206298
RNA PCA (50),50,0.9465045566187149,0.003790037715488118,0.9428589831278196,0.0035040178271346315
ADT PCA (30),30,0.93651744350045,0.0026309354217215427,0.9390598538685062,0.0013379098258851875
